Hero_Name,Position1,Position2,Position3,Position4,Position5
Luna,-0.044197544,0.0,0.0,0.0,0.0
Dragon Knight,-0.081947096,-0.07913602,0.0,0.0,-0.09444628
Dazzle,0.0,0.0,0.18086892,0.1954855,0.0
Clockwerk,0.0,0.0,0.057069667,0.050946493,0.0
Leshrac,0.08205034,0.0,0.0,0.0,0.07090657
Nature's Prophet,-0.18509732,0.0,-0.17267706,0.0,0.0
Lifestealer,0.0,0.0,0.0,0.0,0.03744908
Dark Seer,0.0,0.01924988,0.0,0.0,0.0
Clinkz,0.0,0.0,0.0,0.0,0.13445455
Omniknight,0.0,0.16703658,0.0,0.15460491,0.0
Enchantress,0.0,0.0,0.0,-0.005983936,0.0
Huskar,0.092826806,0.0,0.0,0.0,0.0
Night Stalker,0.0,0.015511633,0.0,0.0,0.0
Broodmother,0.089557216,0.0,0.0,0.0,0.08625431
Bounty Hunter,0.0,0.0,0.14775375,0.0,0.0
Weaver,0.0,0.0,-0.01305317,0.0,-0.013197107
Jakiro,0.0,0.0,0.0,-0.10825674,0.0
Batrider,0.004833457,0.0,0.0,0.004387619,0.0
Chen,0.0,0.0,-0.009154196,0.0,0.0
Spectre,0.0,0.0,0.0,0.0,-0.07209687
Ancient Apparition,0.0,0.0,0.0,0.006449558,0.0
Doom,0.0,-0.14727981,0.0,0.0,-0.11221685
Ursa,0.0,0.0,0.0,0.0,-0.036246147
Spirit Breaker,0.0,0.0,0.0887156,0.0,0.0
Gyrocopter,-0.1435499,0.0,0.0,0.0,0.0
Alchemist,0.0,0.0,-0.0144746,0.0,-0.015679011
Invoker,0.12675108,0.0,0.0,0.0,0.0
Silencer,0.0,0.0,0.0,-0.10400281,0.0
Outworld Destroyer,0.0,0.056397665,0.056778383,0.0,0.056130238
Lycan,0.009244052,0.016495321,0.0,0.0,0.0
Brewmaster,0.055062626,0.0,0.051098578,0.0,0.045114312
Shadow Demon,0.0,0.0,0.0019514634,0.00088011986,0.0
Lone Druid,0.03773063,0.03147378,0.0,0.0,0.03981339
Chaos Knight,0.0,0.03806803,0.0,0.0,0.04140717
Meepo,0.12224986,0.0,0.0,0.0,0.1011893
Treant Protector,0.0,0.0,0.1169209,0.119489424,0.0
Ogre Magi,0.0,0.0,0.01454085,0.014469171,0.0
Undying,0.0,0.0,0.08106214,0.074915804,0.0
Rubick,-0.029271698,0.0,-0.03001929,-0.028933708,0.0
Disruptor,0.0,0.0,0.038635027,0.04368823,0.0
Nyx Assassin,0.0,0.0,0.08125883,0.0,0.0
Naga Siren,0.0,0.0,0.0,0.0,0.014582684
Keeper of the Light,0.02830489,0.0,0.025846593,0.0,0.0
Io,0.0,0.0,0.0,0.07219988,0.058428477
Visage,0.12719257,0.13626762,0.0,0.0,0.0
Slark,0.0,0.039066352,0.0,0.0,0.0
Medusa,0.0,0.0,0.0,0.0,-0.030786546
Troll Warlord,0.0,0.0,0.0,0.0,-0.052528396
Centaur Warrunner,0.0,-0.044027373,0.0,0.0,-0.038222868
Magnus,0.0,0.026944226,0.024742834,0.0,0.0
Timbersaw,0.0,-0.09968135,0.0,0.0,0.0
Bristleback,0.0,-0.16169211,0.0,0.0,-0.12542684
Tusk,0.0,0.0,-0.0221164,0.0,0.0
Skywrath Mage,-0.0073558674,0.0,0.0,-0.0074410615,0.0
Abaddon,0.0,-0.0008276619,-0.001598912,0.0,-0.00026274892
Elder Titan,0.0,0.0,0.08903548,0.0,0.0
Legion Commander,0.0,0.051387664,0.0,0.0,0.045356628
Techies,0.0,0.0,-0.12793845,-0.121606976,0.0
Ember Spirit,-0.09896021,0.0,0.0,0.0,0.0
Earth Spirit,0.081946015,0.0,0.08656419,0.0,0.0
Underlord,-0.071334,-0.079207495,0.0,0.0,0.0
Terrorblade,0.0,0.0,0.0,0.0,-0.20916243
Phoenix,0.0853967,0.0,0.09056074,0.0,0.0
Oracle,0.0,0.0,0.0,0.01838368,0.0
Winter Wyvern,0.0,0.0,0.14782222,0.15777618,0.0
Arc Warden,0.042056967,0.0,0.0,0.0,0.0
Monkey King,-0.12891302,0.0,0.0,0.0,-0.15322061
Dark Willow,0.0,0.0,0.060168803,0.06008086,0.0
Pangolier,-0.044885084,-0.04364873,0.0,0.0,0.0
Grimstroke,0.0,0.0,0.0,0.022005968,0.0
Hoodwink,0.0,0.0,0.0034427869,0.0030374262,0.0
Void Spirit,0.017446853,0.0,0.0,0.0,0.0
Snapfire,0.0,0.0,-0.049967635,-0.05445166,0.0
Mars,0.0,0.0,-0.0848408,0.0,0.0
Ringmaster,0.0,0.0,0.0,0.004484843,0.0
Dawnbreaker,-0.056056976,-0.06374204,0.0,0.0,0.0
Marci,0.05626927,0.05183528,0.0,0.056975797,0.0
Primal Beast,0.011034724,0.012093034,0.0,0.0,0.0
Muerta,-0.059378557,0.0,0.0,0.0,0.0
Kez,-0.068003565,0.0,0.0,0.0,-0.07640456
Largo,0.0,0.04712121,0.044706542,0.047457118,0.0
